127.0.0.1, 2016-08-07 16:17:39, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.141000
127.0.0.1, 2016-08-07 16:18:33, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.111000
127.0.0.1, 2016-08-07 16:19:37, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.121000
127.0.0.1, 2016-08-07 16:20:03, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.109000
127.0.0.1, 2016-08-07 16:21:03, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.097000
127.0.0.1, 2016-08-07 16:23:49, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 500, 0.143000
127.0.0.1, 2016-08-07 16:23:51, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 500, 0.087000
127.0.0.1, 2016-08-07 16:23:56, GET, /admin/default/ticket/init/127.0.0.1.2016-08-07.16-23-51.ca0f9505-2407-43a9-a59c-0df325033818, HTTP/1.1, 200, 0.084000
127.0.0.1, 2016-08-07 16:24:28, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.118000
127.0.0.1, 2016-08-07 16:24:46, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.105000
127.0.0.1, 2016-08-07 16:25:15, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.087000
127.0.0.1, 2016-08-07 16:25:36, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.109000
127.0.0.1, 2016-08-07 16:25:44, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.093000
127.0.0.1, 2016-08-07 16:25:55, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.108000
127.0.0.1, 2016-08-07 16:46:26, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.266000
127.0.0.1, 2016-08-07 16:47:06, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.163000
127.0.0.1, 2016-08-07 16:51:44, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.117000
127.0.0.1, 2016-08-07 16:51:57, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.096000
127.0.0.1, 2016-08-07 16:52:05, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.121000
127.0.0.1, 2016-08-07 16:52:12, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.124000
127.0.0.1, 2016-08-07 16:52:53, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.760000
127.0.0.1, 2016-08-07 16:53:32, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.088000
127.0.0.1, 2016-08-07 17:28:13, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.201000
127.0.0.1, 2016-08-07 17:29:25, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 200, 0.100000
127.0.0.1, 2016-08-14 16:31:02, GET, /init/default/index, HTTP/1.1, 200, 0.246000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/css/custom.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-14 16:31:03, GET, /init/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-15 10:28:17, GET, /, HTTP/1.1, 200, 0.468000
127.0.0.1, 2016-08-15 10:28:18, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-08-15 10:28:18, GET, /init/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-08-15 10:28:18, GET, /init/static/css/custom.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-08-15 10:28:18, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-15 10:28:18, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-15 10:28:18, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-08-15 10:28:18, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-15 10:28:18, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-08-15 10:28:18, GET, /init/static/js/share.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-08-15 10:28:18, GET, /init/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2016-08-15 10:28:18, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2016-08-15 10:28:19, GET, /init/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-15 10:28:20, GET, /init/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-15 10:28:20, GET, /init/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-15 10:28:20, GET, /init/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-15 10:28:20, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-15 15:44:53, GET, /, HTTP/1.1, 200, 0.191000
127.0.0.1, 2016-08-15 15:44:53, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-15 15:44:53, GET, /init/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-15 15:44:53, GET, /init/static/css/custom.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-08-15 15:44:53, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-08-15 15:44:53, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-08-15 15:44:53, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-08-15 15:44:53, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-08-15 15:44:53, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-08-15 15:44:53, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2016-08-15 15:44:53, GET, /init/static/js/share.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2016-08-15 15:44:53, GET, /init/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-08-15 15:44:53, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-15 15:44:54, GET, /init/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
